Customer Code,Customer name,Customer Channel type, Customer coordinates X , Customer coordinates y ,Number of Doors,Route,Rep name,Supervisor name,Service Channel,Depot,USM name,Region,RSM,Discount
Cs 492,45-اسواق الشرقية,Kiosks,30.1024,31.2558,2,45-PRE_GPXالخلفاوى,Rep 91,Sup 17,Presell,45-Shobra,USM 9,Giza,RSM 2,1.00%
Cs 493,45-كابتن سامى,SM,30.096,31.2548,3,45-PRE_GPXالخلفاوى,Rep 91,Sup 17,Presell,45-Shobra,USM 9,Giza,RSM 2,1.25%
Cs 494,45-كيمو توب,Kiosks,30.0958,31.2459,3,45-PRE_GPXالخلفاوى,Rep 91,Sup 17,Presell,45-Shobra,USM 9,Giza,RSM 2,1.25%
Cs 495,45-مصطفى الديب,LG,30.0936,31.2491,1,45-PRE_GPXالخلفاوى,Rep 91,Sup 17,Presell,45-Shobra,USM 9,Giza,RSM 2,0.75%
Cs 496,45-احمد بيدق,SG,30.0727,31.2608,2,45-PRE_GPXالشرابيه,Rep 92,Sup 17,Presell,45-Shobra,USM 9,Giza,RSM 2,1.00%
Cs 497,45-اسواق الجمل) احمد جمال محمد,Kiosks,30.092,31.2575,1,45-PRE_GPXالشرابيه,Rep 92,Sup 17,Conv,45-Shobra,USM 9,Giza,RSM 2,0.75%
Cs 498,45-على بابا,SG,30.0753,31.2611,2,45-PRE_GPXالشرابيه,Rep 92,Sup 17,Conv,45-Shobra,USM 9,Giza,RSM 2,1.00%
Cs 499,45-المنياوى,Kiosks,30.0931,31.2454,1,45-PRE_GPXش شبرا,Rep 93,Sup 18,Conv,45-Shobra,USM 9,Giza,RSM 2,0.75%
Cs 500,45-حلواني الخطيب,LG,30.0933,31.2451,2,45-PRE_GPXش شبرا,Rep 93,Sup 18,Conv,45-Shobra,USM 9,Giza,RSM 2,1.00%
Cs 501,45-كيمو لاند,SG,30.0843,31.2456,2,45-PRE_GPXش شبرا,Rep 93,Sup 18,Conv,45-Shobra,USM 9,Giza,RSM 2,1.00%
Cs 502,45-هايبر المنصوره,Kiosks,30.0898,31.2455,3,45-PRE_GPXش شبرا,Rep 93,Sup 18,Conv,45-Shobra,USM 9,Giza,RSM 2,1.25%
Cs 503,45-زمزم,SM,30.1117,31.2471,3,45-PRE_GPXشبرا الخيمة,Rep 94,Sup 18,Presell,45-Shobra,USM 9,Giza,RSM 2,1.25%
Cs 504,45-سونة,Kiosks,30.108,31.2481,1,45-PRE_GPXشبرا الخيمة,Rep 94,Sup 18,Presell,45-Shobra,USM 9,Giza,RSM 2,0.75%
Cs 505,45-H-شهبندر(محمد محمد سلامه,SM,30.0952,31.243,2,45-Pre_Shoubra_ key Account 1,Rep 95,Sup 18,Presell,45-Shobra,USM 9,Giza,RSM 2,1.00%
Cs 506,45-استاند ماركت,Kiosks,30.0652,31.2288,1,45-Pre_Shoubra_ key Account 1,Rep 95,Sup 18,Presell,45-Shobra,USM 9,Giza,RSM 2,0.75%
Cs 507,45-اسواق المصري,SM,30.0874,31.24,1,45-Pre_Shoubra_ key Account 1,Rep 95,Sup 18,Presell,45-Shobra,USM 9,Giza,RSM 2,0.75%
Cs 508,45-البستان,Kiosks,30.0906,31.2365,1,45-Pre_Shoubra_ key Account 1,Rep 95,Sup 18,Presell,45-Shobra,USM 9,Giza,RSM 2,0.75%
Cs 509,45-الهدى,LG,30.0651,31.2444,1,45-Pre_Shoubra_ key Account 1,Rep 95,Sup 18,Presell,45-Shobra,USM 9,Giza,RSM 2,0.75%
Cs 510,45-بيدق,SG,30.0803,31.2453,1,45-Pre_Shoubra_ key Account 1,Rep 95,Sup 18,Conv,45-Shobra,USM 9,Giza,RSM 2,0.75%
Cs 511,45-بيشوي,Kiosks,30.0844,31.2386,2,45-Pre_Shoubra_ key Account 1,Rep 95,Sup 18,Conv,45-Shobra,USM 9,Giza,RSM 2,1.00%
Cs 512,45-جنديه ماركت,LG,30.0937,31.2375,1,45-Pre_Shoubra_ key Account 1,Rep 95,Sup 18,Conv,45-Shobra,USM 9,Giza,RSM 2,0.75%
Cs 513,45-محمد الطيب,SG,30.0757,31.2448,2,45-Pre_Shoubra_ key Account 1,Rep 95,Sup 18,Conv,45-Shobra,USM 9,Giza,RSM 2,1.00%
Cs 514,45-وادى النيل,Kiosks,30.0948,31.2381,1,45-Pre_Shoubra_ key Account 1,Rep 95,Sup 18,Conv,45-Shobra,USM 9,Giza,RSM 2,0.75%
Cs 515,54-15-اسواق الجوهرى-الاردنيه,SM,29.979249,30.942312,2,الاردنيه,Rep 96,Sup 19,Presell,54-6 October,USM 10,Giza,RSM 2,1.00%
Cs 516,54-15-زمزم-الاردنيه,LG,29.97865,30.942926,2,الاردنيه,Rep 96,Sup 19,Presell,54-6 October,USM 10,Giza,RSM 2,1.00%
Cs 517,54-15-شط العرب-الاردنيه,SG,29.984823,30.944446,3,الاردنيه,Rep 96,Sup 19,Presell,54-6 October,USM 10,Giza,RSM 2,1.25%
Cs 518,54-15-مرحبا-الاردنية,Kiosks,29.984049,30.938025,3,الاردنيه,Rep 96,Sup 19,Presell,54-6 October,USM 10,Giza,RSM 2,1.25%
Cs 519,54-16-الكلاوى-الاردنيه,SM,29.982884,30.939704,1,الاردنيه,Rep 96,Sup 19,Presell,54-6 October,USM 10,Giza,RSM 2,0.75%
Cs 520,54-16-سى عمر-الاردنيه,Kiosks,29.979418,30.942666,2,الاردنيه,Rep 96,Sup 19,Conv,54-6 October,USM 10,Giza,RSM 2,1.00%
Cs 521,54-H-الباشا-الاردنيه,LG,29.98064,30.9417,1,الاردنيه,Rep 96,Sup 19,Conv,54-6 October,USM 10,Giza,RSM 2,0.75%
Cs 522,54-H-الهنا-الاردنيه,SG,29.980298,30.942123,1,الاردنيه,Rep 96,Sup 19,Conv,54-6 October,USM 10,Giza,RSM 2,0.75%
Cs 523,54-الرحمه ماركت,Kiosks,29.979201,30.942606,1,الاردنيه,Rep 96,Sup 19,Conv,54-6 October,USM 10,Giza,RSM 2,0.75%
Cs 524,54-الفكهانى,LG,29.98029,30.93392,1,الاردنيه,Rep 96,Sup 19,Conv,54-6 October,USM 10,Giza,RSM 2,0.75%
Cs 525,54-خير ذاد,SG,29.978942,30.943347,1,الاردنيه,Rep 96,Sup 19,Conv,54-6 October,USM 10,Giza,RSM 2,0.75%
Cs 526,54-H-اسواق العبد-الامريكيه,Kiosks,29.970512,30.941062,2,الامريكيه,Rep 97,Sup 19,Presell,54-6 October,USM 10,Giza,RSM 2,1.00%
Cs 527,54-H-المنياوى-الامريكية,SM,29.973221,30.944569,1,الامريكيه,Rep 97,Sup 19,Presell,54-6 October,USM 10,Giza,RSM 2,0.75%
Cs 528,54-15-اسواق الرافدين-الاول,Kiosks,29.969835,30.94226,2,الحي الاول,Rep 98,Sup 19,Presell,54-6 October,USM 10,Giza,RSM 2,1.00%
Cs 529,54-15-العبيدي-الاول,SM,29.971701,30.952219,2,الحي الاول,Rep 98,Sup 19,Presell,54-6 October,USM 10,Giza,RSM 2,1.00%
Cs 530,54-15-حلو الجامعه-الاول,Kiosks,29.971043,30.950228,3,الحي الاول,Rep 98,Sup 19,Presell,54-6 October,USM 10,Giza,RSM 2,1.25%
Cs 531,54-15-زمزم-الاول,LG,29.968664,30.946528,3,الحي الاول,Rep 98,Sup 19,Presell,54-6 October,USM 10,Giza,RSM 2,1.25%
Cs 532,54-ابن السماك,SG,29.971493,30.950868,1,الحي الاول,Rep 98,Sup 19,Presell,54-6 October,USM 10,Giza,RSM 2,0.75%
Cs 533,54-اسوق اساحبي,Kiosks,29.968862,30.940805,2,الحي الاول,Rep 98,Sup 19,Conv,54-6 October,USM 10,Giza,RSM 2,1.00%
Cs 534,54-السلاب,LG,29.96615,30.948032,2,الحي الاول,Rep 98,Sup 19,Conv,54-6 October,USM 10,Giza,RSM 2,1.00%
Cs 535,54-الفايدى,SG,29.971867,30.951235,1,الحي الاول,Rep 98,Sup 19,Conv,54-6 October,USM 10,Giza,RSM 2,0.75%
Cs 536,54-الكلاوي-الاول,Kiosks,29.968623,30.946369,2,الحي الاول,Rep 98,Sup 19,Conv,54-6 October,USM 10,Giza,RSM 2,1.00%
Cs 537,54-زمزم2,SG,29.971544,30.949293,1,الحي الاول,Rep 98,Sup 19,Conv,54-6 October,USM 10,Giza,RSM 2,0.75%
Cs 538,54-15-اسواق الباشا-الحى الثالث,Kiosks,29.959757,30.945468,2,الحي الثالث,Rep 99,Sup 19,Presell,54-6 October,USM 10,Giza,RSM 2,1.00%
Cs 539,54-الشام ماركت,LG,29.958581,30.942771,2,الحي الثالث,Rep 99,Sup 19,Presell,54-6 October,USM 10,Giza,RSM 2,1.00%
Cs 540,54-زمزم-رمزى,SG,29.959258,30.934064,3,الحي الثالث,Rep 99,Sup 19,Presell,54-6 October,USM 10,Giza,RSM 2,1.25%
Cs 541,54-15-المدينة-السادس2,Kiosks,29.95971,30.929093,3,السادس2,Rep 100,Sup 19,Presell,54-6 October,USM 10,Giza,RSM 2,1.25%
Cs 542,54-15-كيمو ب-السادس2,SM,29.954067,30.922934,1,السادس2,Rep 100,Sup 19,Presell,54-6 October,USM 10,Giza,RSM 2,0.75%
Cs 543,54-اسواق الميهوب,Kiosks,29.949501,30.92714,2,السادس2,Rep 100,Sup 19,Conv,54-6 October,USM 10,Giza,RSM 2,1.00%
Cs 544,54-التحرير,SM,29.951821,30.935278,1,السادس2,Rep 100,Sup 19,Conv,54-6 October,USM 10,Giza,RSM 2,0.75%
Cs 545,54-15-حماده ليلة القدر-السادس2,Kiosks,29.945995,30.905303,1,السادس3,Rep 101,Sup 19,Conv,54-6 October,USM 10,Giza,RSM 2,0.75%
Cs 546,54-اسواق المعز,LG,29.936517,30.925535,1,السادس3,Rep 101,Sup 19,Conv,54-6 October,USM 10,Giza,RSM 2,0.75%
Cs 547,54-15-الراوى2-زايد1,SG,30.038416,31.012298,1,الشيخ زايد1,Rep 102,0,Conv,54-6 October,USM 10,Giza,RSM 2,0.75%
Cs 548,54-15-زهرة الشبراوى-زايد1,Kiosks,30.03373,31.001347,1,الشيخ زايد1,Rep 102,0,Conv,54-6 October,USM 10,Giza,RSM 2,0.75%
Cs 549,54-15-هانى-زايد 1,SG,30.034359,31.004935,2,الشيخ زايد1,Rep 102,0,Presell,54-6 October,USM 10,Giza,RSM 2,1.00%
Cs 550,54-المختار,Kiosks,30.031406,31.011335,1,الشيخ زايد1,Rep 102,0,Presell,54-6 October,USM 10,Giza,RSM 2,0.75%
Cs 551,54-15-اسواق المختار-زايد 2,LG,30.061477,30.957155,2,الشيخ زايد2,Rep 103,0,Presell,54-6 October,USM 10,Giza,RSM 2,1.00%
Cs 552,54-15-الفيومى-الشيخ زايد 2,SG,30.044758,30.963457,2,الشيخ زايد2,Rep 103,0,Presell,54-6 October,USM 10,Giza,RSM 2,1.00%
Cs 553,54-15-هايا ماركت-الشيخ زايد2,Kiosks,30.044808,30.988353,3,الشيخ زايد2,Rep 103,0,Presell,54-6 October,USM 10,Giza,RSM 2,1.25%
Cs 554,54-اسواق الفيومى 2,SM,30.056009,30.9569,3,الشيخ زايد2,Rep 103,0,Presell,54-6 October,USM 10,Giza,RSM 2,1.25%
Cs 555,54-15-البهجة-المتميز,Kiosks,29.970289,31.037933,1,المتميز,Rep 104,Sup 20,Presell,54-6 October,USM 10,Giza,RSM 2,0.75%
Cs 556,54-15-المتميز-المتميز,SM,29.986184,30.973632,2,المتميز,Rep 104,Sup 20,Conv,54-6 October,USM 10,Giza,RSM 2,1.00%
Cs 557,54-15-ستار-المتميز,Kiosks,29.975578,31.051444,1,المتميز,Rep 104,Sup 20,Conv,54-6 October,USM 10,Giza,RSM 2,0.75%
Cs 558,54-15-العائلات-المستقبل,SM,29.97022,30.916856,2,المستقبل,Rep 105,Sup 20,Conv,54-6 October,USM 10,Giza,RSM 2,1.00%
Cs 559,54-15-الناروزي-المستقبل,Kiosks,29.966863,30.905611,1,المستقبل,Rep 105,Sup 20,Conv,54-6 October,USM 10,Giza,RSM 2,0.75%
Cs 560,54-15-اليمامة-المستقبل,LG,29.973097,30.915268,1,المستقبل,Rep 105,Sup 20,Conv,54-6 October,USM 10,Giza,RSM 2,0.75%
Cs 561,54-H-الجوهري1-المستقبل,SG,29.962745,30.900703,1,المستقبل,Rep 105,Sup 20,Presell,54-6 October,USM 10,Giza,RSM 2,0.75%
Cs 562,54-الرحاب-المستقبل,Kiosks,29.96288,30.89987,1,المستقبل,Rep 105,Sup 20,Presell,54-6 October,USM 10,Giza,RSM 2,0.75%
Cs 563,54-هايبر الشرق الوسط,LG,29.919578,30.888648,1,المصانع,Rep 106,Sup 20,Presell,54-6 October,USM 10,Giza,RSM 2,0.75%
Cs 564,54-15-2الروضة-الهضبه,SG,29.950978,31.0507,2,الهضبه -2,Rep 107,Sup 20,Presell,54-6 October,USM 10,Giza,RSM 2,1.00%
Cs 565,54-15-اسواق الحزيفى-الهضبه2,Kiosks,29.979762,31.097365,1,الهضبه -2,Rep 107,Sup 20,Presell,54-6 October,USM 10,Giza,RSM 2,0.75%
Cs 566,54-15-الروضه 2-الهضبه2,SM,29.951985,31.051109,2,الهضبه -2,Rep 107,Sup 20,Conv,54-6 October,USM 10,Giza,RSM 2,1.00%
Cs 567,54-اكسبشن-3,LG,29.953058,31.097505,1,الهضبه -2,Rep 107,Sup 20,Conv,54-6 October,USM 10,Giza,RSM 2,0.75%
Cs 568,54-15-مترو السريع-حدائق الاهرام,SG,29.981344,31.104359,2,حدائق الاهرام,Rep 108,Sup 20,Conv,54-6 October,USM 10,Giza,RSM 2,1.00%
Cs 569,54-ميرا,Kiosks,29.982492,31.108929,2,حدائق الاهرام,Rep 108,Sup 20,Conv,54-6 October,USM 10,Giza,RSM 2,1.00%
Cs 570,54-هايبر العشرين,SM,29.977715,31.105269,3,حدائق الاهرام,Rep 108,Sup 20,Conv,54-6 October,USM 10,Giza,RSM 2,1.25%
Cs 571,61-  سوبر ماركت ما شاء الله,Kiosks,30.048969,31.201402,3,61-خط البالون,Rep 109,Sup 21,Conv,61-Manial Shiha,USM 11,Giza,RSM 2,1.25%
Cs 572,61- الفتح للجمله,LG,30.044747,31.197321,1,61-خط البالون,Rep 109,Sup 21,Presell,61-Manial Shiha,USM 11,Giza,RSM 2,0.75%
Cs 573,61-ابو عمرو,SG,30.052917,31.205646,2,61-خط البالون,Rep 109,Sup 21,Presell,61-Manial Shiha,USM 11,Giza,RSM 2,1.00%
Cs 574,61-احمد مصطفى-,Kiosks,30.050609,31.2025,1,61-خط البالون,Rep 109,Sup 21,Presell,61-Manial Shiha,USM 11,Giza,RSM 2,0.75%
Cs 575,61-الشلودي,LG,30.054151,31.205887,1,61-خط البالون,Rep 109,Sup 21,Presell,61-Manial Shiha,USM 11,Giza,RSM 2,0.75%
Cs 576,61-الفواكه ماركت-,SG,30.049706,31.203825,1,61-خط البالون,Rep 109,Sup 21,Presell,61-Manial Shiha,USM 11,Giza,RSM 2,0.75%
Cs 577,61-اولدريفر,Kiosks,30.055613,31.20854,2,61-خط البالون,Rep 109,Sup 21,Presell,61-Manial Shiha,USM 11,Giza,RSM 2,1.00%
Cs 578,61-سوق التخفيضات - الكروم,SM,30.050367,31.204088,1,61-خط البالون,Rep 109,Sup 21,Presell,61-Manial Shiha,USM 11,Giza,RSM 2,0.75%
Cs 579,61-الجابري المحطة,Kiosks,30.009745,31.216673,2,61-خط الجيزه,Rep 110,Sup 21,Conv,61-Manial Shiha,USM 11,Giza,RSM 2,1.00%
Cs 580,61-الحاج,SM,30.009048,31.210335,1,61-خط الجيزه,Rep 110,Sup 21,Conv,61-Manial Shiha,USM 11,Giza,RSM 2,0.75%
Cs 581,61-الفلاح,Kiosks,30.012512,31.214215,2,61-خط الجيزه,Rep 110,Sup 21,Conv,61-Manial Shiha,USM 11,Giza,RSM 2,1.00%
Cs 582,61-تسالى حياتى,LG,30.036218,31.203153,2,61-خط الدقي,Rep 111,Sup 21,Conv,61-Manial Shiha,USM 11,Giza,RSM 2,1.00%
Cs 583,61-ربات البيوت,SG,30.018143,31.214839,3,61-خط الدقي,Rep 111,Sup 21,Conv,61-Manial Shiha,USM 11,Giza,RSM 2,1.25%
Cs 584,61-التميمى,Kiosks,30.05996,31.221743,3,61-خط الزمالك,Rep 112,Sup 21,Presell,61-Manial Shiha,USM 11,Giza,RSM 2,1.25%
Cs 585,61-الزمالك البحرية-,LG,30.064974,31.217062,1,61-خط الزمالك,Rep 112,Sup 21,Presell,61-Manial Shiha,USM 11,Giza,RSM 2,0.75%
Cs 586,61-بكير,SG,30.061013,31.219417,2,61-خط الزمالك,Rep 112,Sup 21,Presell,61-Manial Shiha,USM 11,Giza,RSM 2,1.00%
Cs 587,61-سوق الحبايب,Kiosks,30.071825,31.221863,1,61-خط الزمالك,Rep 112,Sup 21,Presell,61-Manial Shiha,USM 11,Giza,RSM 2,0.75%
Cs 588,61- الريف - اولاد عوض,SG,30.063933,31.20634,2,61-خط الصحفين,Rep 113,Sup 21,Presell,61-Manial Shiha,USM 11,Giza,RSM 2,1.00%
Cs 589,61-ابو عمرو,Kiosks,30.067251,31.201846,1,61-خط الصحفين,Rep 113,Sup 21,Conv,61-Manial Shiha,USM 11,Giza,RSM 2,0.75%
Cs 590,61-اسماعيل الدويك-,LG,30.064301,31.204691,2,61-خط الصحفين,Rep 113,Sup 21,Conv,61-Manial Shiha,USM 11,Giza,RSM 2,1.00%
Cs 591,61-المتجر,SG,30.068709,31.198194,1,61-خط الصحفين,Rep 113,Sup 21,Conv,61-Manial Shiha,USM 11,Giza,RSM 2,0.75%
Cs 592,61- الجوهره,Kiosks,30.042957,31.195006,2,61-خط الصيد,Rep 114,Sup 21,Conv,61-Manial Shiha,USM 11,Giza,RSM 2,1.00%
Cs 593,61-العروبة,SM,30.039122,31.206751,2,61-خط الصيد,Rep 114,Sup 21,Conv,61-Manial Shiha,USM 11,Giza,RSM 2,1.00%
Cs 594,61-المحمديه,Kiosks,30.040412,31.197326,3,61-خط الصيد,Rep 114,Sup 21,Conv,61-Manial Shiha,USM 11,Giza,RSM 2,1.25%
Cs 595,61-توشكى,SM,30.043415,31.199337,3,61-خط الصيد,Rep 114,Sup 21,Presell,61-Manial Shiha,USM 11,Giza,RSM 2,1.25%
Cs 596,61-س.م الجمل.,Kiosks,30.056534,31.211305,1,61-خط العجوزه,Rep 115,Sup 22,Presell,61-Manial Shiha,USM 11,Giza,RSM 2,0.75%
Cs 597,61-شاهين,LG,30.049147,31.213943,2,61-خط العجوزه,Rep 115,Sup 22,Presell,61-Manial Shiha,USM 11,Giza,RSM 2,1.00%
Cs 598,61-ياسين,SG,30.056884,31.212297,2,61-خط العجوزه,Rep 115,Sup 22,Presell,61-Manial Shiha,USM 11,Giza,RSM 2,1.00%
Cs 599,61- AUTO Z,Kiosks,30.044018,31.217304,1,61-خط المساحه,Rep 116,Sup 22,Presell,61-Manial Shiha,USM 11,Giza,RSM 2,0.75%
Cs 600,61-ابو رجيلة الجيزة,SG,30.039401,31.212248,3,61-خط المساحه,Rep 116,Sup 22,Presell,61-Manial Shiha,USM 11,Giza,RSM 2,1.25%
Cs 601,61-أسواق بغداد-,Kiosks,30.041841,31.218855,1,61-خط المساحه,Rep 116,Sup 22,Presell,61-Manial Shiha,USM 11,Giza,RSM 2,0.75%
Cs 602,61-اسواق فكره,LG,30.0366,31.211784,2,61-خط المساحه,Rep 116,Sup 22,Conv,61-Manial Shiha,USM 11,Giza,RSM 2,1.00%
Cs 603,61-الوزير,SG,30.043028,31.213216,3,61-خط المساحه,Rep 116,Sup 22,Conv,61-Manial Shiha,USM 11,Giza,RSM 2,1.25%
Cs 604,61-بقالة الاسلامية-,Kiosks,30.0456,31.2173,3,61-خط المساحه,Rep 116,Sup 22,Conv,61-Manial Shiha,USM 11,Giza,RSM 2,1.25%
Cs 605,61-لوك اب,SM,30.036566,31.2147,1,61-خط المساحه,Rep 116,Sup 22,Conv,61-Manial Shiha,USM 11,Giza,RSM 2,0.75%
Cs 606,61-ماركت القواسمى,Kiosks,30.036065,31.218156,2,61-خط المساحه,Rep 116,Sup 22,Conv,61-Manial Shiha,USM 11,Giza,RSM 2,1.00%
Cs 607,61-هارون ( حسن ابراهيم,SM,30.038069,31.217353,2,61-خط المساحه,Rep 116,Sup 22,Presell,61-Manial Shiha,USM 11,Giza,RSM 2,1.00%
Cs 608,61-س.م. حواديت,Kiosks,30.051531,31.194735,3,61-خط المهندسين,Rep 117,Sup 22,Presell,61-Manial Shiha,USM 11,Giza,RSM 2,1.25%
Cs 609,61-اسواق الرحمن,SM,29.954333,31.242079,3,61-خط منيل شيحه,Rep 118,Sup 22,Presell,61-Manial Shiha,USM 11,Giza,RSM 2,1.25%
